iter	RMSE
0	14.72371975
1	13.50854555
2	12.36421652
3	11.33856202
4	10.43935746
5	9.571596234
6	8.808889759
7	8.160010585
8	7.596744662
9	7.05968021
10	6.515430772
11	6.002045925
12	5.571716563
13	5.168776997
14	4.803765988
15	4.462930743
16	4.141729457
17	3.855125692
18	3.615833676
19	3.37472413
20	3.1566058
21	2.957143822
22	2.785461043
23	2.62241986
24	2.486753187
25	2.344416922
26	2.222197244
27	2.114983557
28	2.010627217
29	1.918794889
30	1.826098373
31	1.748928229
32	1.679947186
33	1.612439474
34	1.548737695
35	1.488967575
36	1.444052717
37	1.39909777
38	1.36081576
39	1.323960981
40	1.2933533
41	1.25787138
42	1.227779992
43	1.200838482
44	1.17668512
45	1.151672714
46	1.123958946
47	1.10457582
48	1.086802796
49	1.069890946
50	1.052680473
51	1.039275046
52	1.020970511
53	1.005037691
54	0.9939749654
55	0.982871798
56	0.9692693663
57	0.9572778049
58	0.9461600578
59	0.9341309584
60	0.9244044829
61	0.9144907826
62	0.9033430019
63	0.8973637904
64	0.887597587
65	0.8801041109
66	0.8693963694
67	0.8634892619
68	0.8560577983
69	0.8486863917
70	0.8444336832
71	0.834282417
72	0.8265704376
73	0.8221345982
74	0.8168568089
75	0.8098872339
76	0.8043513729
77	0.7985179712
78	0.7926356848
79	0.7873007915
80	0.782799932
81	0.774989799
82	0.7702100251
83	0.7657737146
84	0.7584741486
85	0.754872454
86	0.7474913168
87	0.7418938878
88	0.7359793573
89	0.7329782231
90	0.7297782851
91	0.7254497292
92	0.7193074535
93	0.7163950681
94	0.710765977
95	0.7053134645
96	0.700618415
97	0.6953207442
98	0.6924785893
99	0.6905972994
100	0.6857441003
101	0.6798193186
102	0.6732213984
103	0.6693163563
104	0.6645754504
105	0.6625796789
106	0.6582465668
107	0.6548325516
108	0.650335522
109	0.6466484195
110	0.6415932639
111	0.6361034595
112	0.6338582695
113	0.6303048127
114	0.6264021492
115	0.6245374732
116	0.6211932936
117	0.6182842343
118	0.6137736998
119	0.6096160199
120	0.6065954261
121	0.6033583006
122	0.5990559088
123	0.5979876559
124	0.5968056179
125	0.5931476811
126	0.5908568944
127	0.5898991075
128	0.5857785737
129	0.5811802958
130	0.5765406208
131	0.5733453149
132	0.5710071809
133	0.5701256737
134	0.5694343453
135	0.5669432455
136	0.5655118969
137	0.5647480734
138	0.5621862831
139	0.557084012
140	0.5548183904
141	0.5539523596
142	0.5530617942
143	0.5501387809
144	0.5483687863
145	0.5474426817
146	0.5463578994
147	0.5434415745
148	0.5410600395
149	0.5384297232
150	0.5366583915
151	0.5331353692
152	0.5300379985
153	0.5266144695
154	0.5260533622
155	0.5250574882
156	0.522716661
157	0.5219902636
158	0.5180282872
159	0.5146057949
160	0.5138453981
161	0.511941478
162	0.5113145415
163	0.5105325958
164	0.5089706621
165	0.507052802
166	0.5046133022
167	0.5038509182
168	0.5017453259
169	0.4995096361
170	0.4974831293
171	0.4951415488
172	0.4937694315
173	0.493177018
174	0.491510929
175	0.4905985081
176	0.4877031494
177	0.4857695118
178	0.4826783855
179	0.4805396328
180	0.4792871093
181	0.4786429875
182	0.476804438
183	0.4750213077
184	0.474353455
185	0.4721508688
186	0.4702500413
187	0.4677256918
188	0.4650312945
189	0.4627544174
190	0.460913983
191	0.4595288516
192	0.4570572756
193	0.4559214534
194	0.4539983828
195	0.4529710102
196	0.4509340714
197	0.4486415109
198	0.4469330346
199	0.4457728518
200	0.444033514
201	0.4425316094
202	0.4409750874
203	0.4391113392
204	0.4381811117
205	0.4367902325
206	0.4352466464
207	0.4347580294
208	0.4334257664
209	0.432007897
210	0.4311282071
211	0.4293532047
212	0.4287776972
213	0.4275848678
214	0.4267915944
215	0.4263575446
216	0.4256374163
217	0.4235560396
218	0.4228792064
219	0.421494674
220	0.4202748083
221	0.4186458106
222	0.417446061
223	0.4164255731
224	0.4155138584
225	0.4147865759
226	0.4135140248
227	0.4131037605
228	0.4119770859
229	0.410849514
230	0.4104689311
231	0.409457131
232	0.4081458621
233	0.4068244049
234	0.4053336497
235	0.4050541771
236	0.4035398659
237	0.4028777981
238	0.4015474898
239	0.3994150446
240	0.3982095873
241	0.3974696179
242	0.3966770172
243	0.395487757
244	0.3941425492
245	0.3924471634
246	0.3921181508
247	0.3905206576
248	0.3895850418
249	0.3891953803
250	0.3878577259
251	0.3868785242
252	0.3856841397
253	0.384445892
254	0.3839166629
255	0.3831310197
256	0.3814669961
257	0.3798692182
258	0.3790535501
259	0.3778402654
260	0.3756148039
261	0.3752445404
262	0.3737754262
263	0.3729199261
264	0.3715625287
265	0.3705009584
266	0.3691581778
267	0.3682485382
268	0.367463392
269	0.3662274255
270	0.3652278031
271	0.3643983999
272	0.3637794603
273	0.3633332617
274	0.3630095132
275	0.36228954
276	0.3614249398
277	0.3607092397
278	0.3602775925
279	0.3592317603
280	0.3578038438
281	0.3568599314
282	0.3566385382
283	0.355658323
284	0.3554476721
285	0.3548824433
286	0.3539476538
287	0.3537366092
288	0.3535471627
289	0.3527955129
290	0.3524608102
291	0.3519491539
292	0.3517238214
293	0.351537385
294	0.3509273686
295	0.3499535184
296	0.3492541513
297	0.3488633558
298	0.3487003825
299	0.3476627335
