iter	Passed	Remaining
0	6	1920
1	21	3180
2	30	3042
3	39	2886
4	49	2931
5	54	2646
6	62	2625
7	68	2482
8	80	2590
9	85	2481
10	94	2469
11	99	2384
12	105	2320
13	113	2315
14	119	2267
15	127	2258
16	133	2220
17	140	2207
18	149	2211
19	160	2242
20	165	2204
21	171	2162
22	178	2153
23	185	2130
24	200	2207
25	212	2243
26	226	2289
27	236	2295
28	247	2317
29	263	2369
30	275	2390
31	289	2427
32	298	2416
33	305	2393
34	311	2360
35	320	2351
36	326	2322
37	335	2310
38	341	2283
39	352	2293
40	365	2309
41	385	2369
42	401	2401
43	414	2410
44	423	2400
45	435	2406
46	447	2408
47	467	2456
48	483	2475
49	497	2486
50	506	2471
51	521	2486
52	536	2499
53	549	2503
54	562	2507
55	593	2587
56	599	2555
57	616	2571
58	634	2592
59	649	2596
60	654	2564
61	663	2545
62	668	2516
63	676	2495
64	683	2469
65	688	2439
66	696	2422
67	703	2401
68	712	2385
69	718	2360
70	726	2344
71	733	2322
72	745	2319
73	751	2295
74	761	2285
75	766	2260
76	774	2243
77	789	2248
78	795	2225
79	800	2201
80	809	2189
81	815	2168
82	829	2169
83	839	2159
84	848	2146
85	857	2134
86	862	2112
87	870	2097
88	876	2076
89	882	2058
90	890	2044
91	896	2026
92	906	2018
93	919	2014
94	959	2069
95	999	2123
96	1009	2113
97	1027	2117
98	1045	2123
99	1058	2117
100	1071	2110
101	1086	2108
102	1115	2134
103	1133	2136
104	1167	2167
105	1186	2171
106	1202	2169
107	1234	2193
108	1248	2188
109	1264	2184
110	1270	2162
111	1281	2150
112	1286	2129
113	1296	2116
114	1302	2095
115	1314	2085
116	1325	2073
117	1336	2061
118	1345	2046
119	1351	2026
120	1358	2009
121	1364	1990
122	1369	1970
123	1377	1955
124	1383	1936
125	1392	1923
126	1398	1904
127	1406	1890
128	1412	1871
129	1420	1857
130	1426	1840
131	1432	1823
132	1441	1809
133	1446	1791
134	1456	1780
135	1463	1764
136	1471	1750
137	1478	1735
138	1487	1722
139	1495	1708
140	1505	1697
141	1511	1681
142	1516	1665
143	1524	1651
144	1529	1635
145	1539	1623
146	1545	1608
147	1554	1596
148	1559	1580
149	1566	1566
150	1573	1552
151	1578	1536
152	1586	1524
153	1592	1509
154	1601	1498
155	1607	1483
156	1613	1469
157	1618	1454
158	1624	1441
159	1647	1441
160	1671	1443
161	1687	1437
162	1698	1427
163	1705	1414
164	1714	1403
165	1733	1399
166	1741	1387
167	1750	1375
168	1754	1360
169	1767	1351
170	1775	1339
171	1782	1326
172	1789	1313
173	1797	1301
174	1802	1287
175	1812	1277
176	1817	1263
177	1828	1253
178	1841	1244
179	1848	1232
180	1859	1222
181	1865	1209
182	1876	1199
183	1882	1186
184	1893	1177
185	1899	1164
186	1909	1154
187	1915	1141
188	1925	1130
189	1931	1118
190	1942	1108
191	1948	1095
192	1957	1085
193	1963	1072
194	1974	1063
195	1984	1052
196	1992	1041
197	1997	1029
198	2007	1018
199	2012	1006
200	2023	996
201	2035	987
202	2052	980
203	2057	968
204	2065	957
205	2072	945
206	2078	933
207	2088	923
208	2093	911
209	2101	900
210	2106	888
211	2114	877
212	2120	866
213	2126	854
214	2135	844
215	2146	834
216	2152	823
217	2158	811
218	2167	801
219	2172	790
220	2180	779
221	2186	768
222	2194	757
223	2201	746
224	2206	735
225	2214	725
226	2223	715
227	2236	706
228	2255	699
229	2268	690
230	2274	679
231	2286	670
232	2299	661
233	2313	652
234	2328	644
235	2337	633
236	2350	624
237	2362	615
238	2380	607
239	2394	598
240	2412	590
241	2428	582
242	2443	573
243	2459	564
244	2466	553
245	2476	543
246	2481	532
247	2491	522
248	2497	511
249	2512	502
250	2525	493
251	2533	482
252	2543	472
253	2553	462
254	2560	451
255	2566	441
256	2575	430
257	2581	420
258	2589	409
259	2594	399
260	2604	389
261	2609	378
262	2618	368
263	2624	357
264	2630	347
265	2639	337
266	2654	328
267	2659	317
268	2667	307
269	2674	297
270	2679	286
271	2687	276
272	2693	266
273	2701	256
274	2707	246
275	2712	235
276	2720	225
277	2726	215
278	2735	205
279	2741	195
280	2751	186
281	2757	176
282	2767	166
283	2773	156
284	2780	146
285	2788	136
286	2794	126
287	2802	116
288	2807	106
289	2816	97
290	2821	87
291	2829	77
292	2835	67
293	2841	57
294	2852	48
295	2861	38
296	2868	28
297	2874	19
298	2883	9
299	2890	0
